equal,pyth,pure,length
587.3295358348151,586.6666666666667,594.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
391.99543598174927,391.11111111111114,396.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
391.99543598174927,391.11111111111114,396.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
391.99543598174927,391.11111111111114,396.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
493.8833012561241,495.00000000000006,495.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
391.99543598174927,391.11111111111114,396.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
523.2511306011972,521.4814814814815,528.0,1.0
1244.5079348883237,1236.1042524005488,1267.2,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1174.65907166963,1173.3333333333335,1188.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.25
1396.9129257320155,1390.6172839506173,1408.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1174.65907166963,1173.3333333333335,1188.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1174.65907166963,1173.3333333333335,1188.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
987.7666025122483,990.0000000000001,990.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1174.65907166963,1173.3333333333335,1188.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
987.7666025122483,990.0000000000001,990.0,0.25
1174.65907166963,1173.3333333333335,1188.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1174.65907166963,1173.3333333333335,1188.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1567.981743926997,1564.4444444444446,1584.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1174.65907166963,1173.3333333333335,1188.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.25
1396.9129257320155,1390.6172839506173,1408.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1174.65907166963,1173.3333333333335,1188.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1567.981743926997,1564.4444444444446,1584.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
987.7666025122483,990.0000000000001,990.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1174.65907166963,1173.3333333333335,1188.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1567.981743926997,1564.4444444444446,1584.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
1046.5022612023945,1042.962962962963,1056.0,1.0
783.9908719634985,782.2222222222223,792.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
830.6093951598903,824.0695016003658,844.8000000000001,0.25
523.2511306011972,521.4814814814815,528.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
698.4564628660078,695.3086419753087,704.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
523.2511306011972,521.4814814814815,528.0,0.25
698.4564628660078,695.3086419753087,704.0,0.25
466.1637615180899,463.53909465020575,469.3333333333333,0.25
587.3295358348151,586.6666666666667,594.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
466.1637615180899,463.53909465020575,469.3333333333333,0.25
587.3295358348151,586.6666666666667,594.0,0.25
830.6093951598903,824.0695016003658,844.8000000000001,0.25
783.9908719634985,782.2222222222223,792.0,0.25
466.1637615180899,463.53909465020575,469.3333333333333,0.25
698.4564628660078,695.3086419753087,704.0,0.25
466.1637615180899,463.53909465020575,469.3333333333333,0.25
622.2539674441618,618.0521262002744,633.6,0.25
466.1637615180899,463.53909465020575,469.3333333333333,0.25
587.3295358348151,586.6666666666667,594.0,0.25
466.1637615180899,463.53909465020575,469.3333333333333,0.25
622.2539674441618,618.0521262002744,633.6,0.25
415.3046975799451,412.0347508001829,422.40000000000003,0.25
523.2511306011972,521.4814814814815,528.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
415.3046975799451,412.0347508001829,422.40000000000003,0.25
523.2511306011972,521.4814814814815,528.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
698.4564628660078,695.3086419753087,704.0,0.25
415.3046975799451,412.0347508001829,422.40000000000003,0.25
622.2539674441618,618.0521262002744,633.6,0.25
415.3046975799451,412.0347508001829,422.40000000000003,0.25
587.3295358348151,586.6666666666667,594.0,0.25
415.3046975799451,412.0347508001829,422.40000000000003,0.25
523.2511306011972,521.4814814814815,528.0,0.25
415.3046975799451,412.0347508001829,422.40000000000003,0.25
587.3295358348151,586.6666666666667,594.0,0.5
391.99543598174927,391.11111111111114,396.0,0.5
622.2539674441618,618.0521262002744,633.6,0.5
587.3295358348151,586.6666666666667,594.0,0.5
523.2511306011972,521.4814814814815,528.0,0.5
783.9908719634985,782.2222222222223,792.0,0.5
1046.5022612023945,1042.962962962963,1056.0,1.0
783.9908719634985,782.2222222222223,792.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
830.6093951598903,824.0695016003658,844.8000000000001,0.25
523.2511306011972,521.4814814814815,528.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
830.6093951598903,824.0695016003658,844.8000000000001,0.25
523.2511306011972,521.4814814814815,528.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
587.3295358348151,586.6666666666667,594.0,0.25
698.4564628660078,695.3086419753087,704.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
587.3295358348151,586.6666666666667,594.0,0.25
830.6093951598903,824.0695016003658,844.8000000000001,0.25
587.3295358348151,586.6666666666667,594.0,0.25
783.9908719634985,782.2222222222223,792.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
698.4564628660078,695.3086419753087,704.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
391.99543598174927,391.11111111111114,396.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
415.3046975799451,412.0347508001829,422.40000000000003,0.25
523.2511306011972,521.4814814814815,528.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
415.3046975799451,412.0347508001829,422.40000000000003,0.25
523.2511306011972,521.4814814814815,528.0,0.25
